CR5#3 Bed#497894#1666#4.0
CR7#3 Bed#433905#1547#4.0
CT11#3 Bed#268426#969#4.0
CT16#3 Bed#222893#783#4.0
CT17#3 Bed#220018#866#4.0
CT19#3 Bed#269280#923#4.0
CT2#3 Bed#332771#1152#4.0
CT20#3 Bed#270783#986#4.0
CT21#3 Bed#353190#1300#4.0
CT3#3 Bed#291913#1025#4.0
CT6#3 Bed#323431#1206#4.0
CV10#3 Bed#190235#672#4.0
CV22#3 Bed#273778#962#4.0
CV31#3 Bed#311192#1094#4.0
CV32#3 Bed#389043#1310#4.0
CV34#3 Bed#320283#1170#4.0
CV35#3 Bed#340517#1148#4.0
CV37#3 Bed#334755#1142#4.0
CV47#3 Bed#263286#971#4.0
CV5#3 Bed#260797#937#4.0
CW10#3 Bed#190662#735#4.0
CW11#3 Bed#220452#825#4.0
CW2#3 Bed#177442#704#4.0
CW3#3 Bed#217073#889#4.0
CW6#3 Bed#297614#1049#4.0
CW9#3 Bed#224532#806#4.0
DA1#3 Bed#345552#1273#4.0
DA10#3 Bed#386872#1400#4.0
DA11#3 Bed#318808#1157#4.0
DA12#3 Bed#316232#1113#4.0
DA16#3 Bed#391006#1309#4.0
DA17#3 Bed#357758#1286#4.0
DA2#3 Bed#394317#1321#4.0
DA3#3 Bed#321596#1182#4.0
DA4#3 Bed#383370#1510#4.0
DA6#3 Bed#397178#1442#4.0
DA7#3 Bed#400755#1489#4.0
DA8#3 Bed#318911#1245#4.0
DA9#3 Bed#349000#1409#4.0
DD11#3 Bed#168774#655#4.0
DD2#3 Bed#217000#794#4.0
DD3#3 Bed#163333#669#4.0
DD5#3 Bed#217277#819#4.0
DD9#3 Bed#169906#587#4.0
DE11#3 Bed#176586#667#4.0
DE13#3 Bed#222541#795#4.0
DE14#3 Bed#150410#591#4.0
DE15#3 Bed#196894#672#4.0
DE21#3 Bed#183484#632#4.0
DE22#3 Bed#218785#753#4.0
DE3#3 Bed#224628#813#4.0
DE65#3 Bed#236631#831#4.0
DE7#3 Bed#183935#618#4.0
DH2#3 Bed#123956#504#4.0
DH3#3 Bed#160892#557#4.0
DH5#3 Bed#117844#458#4.0
DH6#3 Bed#125023#480#4.0
DH8#3 Bed#131326#501#4.0
DL14#3 Bed#120684#420#4.0
DL16#3 Bed#128664#502#4.0
DL17#3 Bed#99052#405#4.0
DL6#3 Bed#196070#816#4.0
DL9#3 Bed#163000#600#4.0
DN10#3 Bed#251722#876#4.0
DN11#3 Bed#139889#565#4.0
DN15#3 Bed#143804#578#4.0
DN20#3 Bed#182033#631#4.0
DN21#3 Bed#133894#524#4.0
DN39#3 Bed#134817#451#4.0
DN40#3 Bed#140165#494#4.0
DN7#3 Bed#134465#540#4.0
DN8#3 Bed#147624#553#4.0
DT11#3 Bed#367827#1261#4.0
DT4#3 Bed#267044#933#4.0
DT5#3 Bed#231609#790#4.0
DT9#3 Bed#311036#1101#4.0
DY11#3 Bed#174996#718#4.0
DY12#3 Bed#228558#875#4.0
DY13#3 Bed#223167#752#4.0
DY2#3 Bed#154186#640#4.0
DY3#3 Bed#194725#722#4.0
DY5#3 Bed#163924#656#4.0
DY8#3 Bed#229779#787#4.0
E12#3 Bed#458417#1683#4.0
E13#3 Bed#431372#1690#4.0
E14#3 Bed#719571#2689#4.0
