DG9#5 Bed#243682#0#0.0
DH3#5 Bed#250000#0#0.0
DH4#5 Bed#550704#0#0.0
DH5#5 Bed#320000#0#0.0
DH6#5 Bed#244567#0#0.0
DH7#5 Bed#266238#0#0.0
DH9#5 Bed#198317#0#0.0
DL1#5 Bed#373970#182#0.0
DL11#5 Bed#520000#0#0.0
DL13#5 Bed#429282#0#0.0
DL15#5 Bed#265300#0#0.0
DL17#5 Bed#1015000#0#0.0
DL5#5 Bed#260983#0#0.0
DL6#5 Bed#565000#0#0.0
DL7#5 Bed#409199#0#0.0
DL8#5 Bed#578564#0#0.0
DN10#5 Bed#475833#0#0.0
DN12#5 Bed#347500#0#0.0
DN14#5 Bed#379995#0#0.0
DN15#5 Bed#376495#0#0.0
DN16#5 Bed#188738#0#0.0
DN17#5 Bed#347200#0#0.0
DN19#5 Bed#440800#0#0.0
DN20#5 Bed#514091#0#0.0
DN3#5 Bed#329988#0#0.0
DN31#5 Bed#0#347#0.0
DN33#5 Bed#405000#0#0.0
DN34#5 Bed#158333#0#0.0
DN35#5 Bed#301000#0#0.0
DN36#5 Bed#503990#0#0.0
DN37#5 Bed#349832#0#0.0
DN39#5 Bed#363750#0#0.0
DN40#5 Bed#383300#0#0.0
DN41#5 Bed#554158#0#0.0
DN7#5 Bed#417000#0#0.0
DN8#5 Bed#350000#0#0.0
DN9#5 Bed#359600#0#0.0
DT10#5 Bed#794999#0#0.0
DT3#5 Bed#575455#0#0.0
DT4#5 Bed#546071#0#0.0
DY10#5 Bed#532500#0#0.0
DY11#5 Bed#612990#0#0.0
DY2#5 Bed#436238#0#0.0
DY3#5 Bed#575000#0#0.0
DY4#5 Bed#235000#0#0.0
DY6#5 Bed#357475#0#0.0
DY7#5 Bed#495000#0#0.0
DY8#5 Bed#546250#0#0.0
DY9#5 Bed#595714#0#0.0
E16#5 Bed#1100000#572#0.0
E5#5 Bed#1170909#0#0.0
EC1A#5 Bed#2200000#0#0.0
EC1M#5 Bed#2200000#0#0.0
EC1N#5 Bed#2200000#0#0.0
EC1R#5 Bed#2200000#0#0.0
EC1V#5 Bed#2200000#0#0.0
EC1Y#5 Bed#2200000#0#0.0
EH12#5 Bed#523999#0#0.0
EH13#5 Bed#560000#0#0.0
EH17#5 Bed#357498#0#0.0
EH19#5 Bed#426666#0#0.0
EH20#5 Bed#520000#0#0.0
EH22#5 Bed#413232#0#0.0
EH23#5 Bed#0#1127#0.0
EH24#5 Bed#375000#0#0.0
EH25#5 Bed#535000#0#0.0
EH26#5 Bed#631142#0#0.0
EH28#5 Bed#576800#0#0.0
EH3#5 Bed#0#12502#0.0
EH30#5 Bed#547000#0#0.0
EH32#5 Bed#420000#0#0.0
EH38#5 Bed#825000#0#0.0
EH39#5 Bed#537796#0#0.0
EH40#5 Bed#391250#0#0.0
EH42#5 Bed#456944#0#0.0
EH45#5 Bed#515000#0#0.0
EH46#5 Bed#466429#0#0.0
EH47#5 Bed#338667#0#0.0
EH48#5 Bed#352999#0#0.0
EH5#5 Bed#0#2999#0.0
EH51#5 Bed#447999#0#0.0
EH52#5 Bed#412999#0#0.0
EH53#5 Bed#404125#0#0.0
EH55#5 Bed#353317#0#0.0
EH6#5 Bed#0#2249#0.0
EN1#5 Bed#734999#0#0.0
EN11#5 Bed#631249#0#0.0
EN9#5 Bed#791520#0#0.0
EX10#5 Bed#638333#0#0.0
EX11#5 Bed#568597#0#0.0
EX14#5 Bed#469000#0#0.0
EX16#5 Bed#422211#0#0.0
EX17#5 Bed#588738#0#0.0
EX18#5 Bed#450000#0#0.0
EX20#5 Bed#462500#0#0.0
EX21#5 Bed#511000#0#0.0
EX22#5 Bed#580000#0#0.0
EX23#5 Bed#519531#0#0.0
EX3#5 Bed#758000#0#0.0
EX31#5 Bed#523145#0#0.0
EX32#5 Bed#355763#0#0.0
EX33#5 Bed#761238#0#0.0
EX34#5 Bed#465134#0#0.0
EX5#5 Bed#615000#0#0.0
EX7#5 Bed#538750#0#0.0
EX8#5 Bed#619992#0#0.0
EX9#5 Bed#800000#0#0.0
FK1#5 Bed#322749#0#0.0
FK10#5 Bed#309248#0#0.0
FK3#5 Bed#362500#0#0.0
FK4#5 Bed#230665#0#0.0
FK5#5 Bed#354699#0#0.0
FK7#5 Bed#397000#0#0.0
FK8#5 Bed#488890#0#0.0
FY1#5 Bed#112238#0#0.0
FY3#5 Bed#389322#0#0.0
FY5#5 Bed#395385#0#0.0
G20#5 Bed#225000#0#0.0
G32#5 Bed#380000#0#0.0
G40#5 Bed#379199#0#0.0
G41#5 Bed#494333#0#0.0
G46#5 Bed#485000#0#0.0
G52#5 Bed#249000#0#0.0
G62#5 Bed#425000#0#0.0
