B37#2 Bed#151000#750#5.0
B38#2 Bed#137990#663#5.0
B44#2 Bed#148731#667#5.0
B50#2 Bed#171985#849#5.0
B65#2 Bed#116335#549#5.0
B68#2 Bed#126164#624#5.0
B69#2 Bed#135000#598#5.0
B70#2 Bed#129495#584#5.0
B71#2 Bed#145490#644#5.0
B98#2 Bed#156250#674#5.0
BB1#2 Bed#108353#471#5.0
BB10#2 Bed#83716#401#5.0
BB18#2 Bed#113979#477#5.0
BB3#2 Bed#85313#420#5.0
BB4#2 Bed#107229#485#5.0
BB5#2 Bed#88739#423#5.0
BB6#2 Bed#94439#444#5.0
BD12#2 Bed#104350#462#5.0
BD13#2 Bed#94657#414#5.0
BD15#2 Bed#110874#481#5.0
BD19#2 Bed#99975#458#5.0
BD2#2 Bed#102123#490#5.0
BD20#2 Bed#131085#591#5.0
BD22#2 Bed#103819#437#5.0
BD6#2 Bed#91856#416#5.0
BD9#2 Bed#94995#429#5.0
BH1#2 Bed#214981#975#5.0
BH10#2 Bed#241277#1096#5.0
BH15#2 Bed#228584#964#5.0
BL1#2 Bed#100970#485#5.0
BL9#2 Bed#119087#588#5.0
BN1#2 Bed#388365#1793#5.0
BN10#2 Bed#266188#1132#5.0
BN2#2 Bed#341676#1466#5.0
BN3#2 Bed#388112#1622#5.0
BN41#2 Bed#260564#1300#5.0
BN43#2 Bed#298769#1300#5.0
BN9#2 Bed#216667#999#5.0
BR5#2 Bed#325690#1364#5.0
BS10#2 Bed#215448#1051#5.0
BT41#2 Bed#92475#425#5.0
CA14#2 Bed#84047#413#5.0
CA2#2 Bed#96276#447#5.0
CA20#2 Bed#111350#533#5.0
CA22#2 Bed#113588#475#5.0
CA27#2 Bed#110250#474#5.0
CA28#2 Bed#95593#425#5.0
CA7#2 Bed#119510#514#5.0
CF10#2 Bed#188300#891#5.0
CF24#2 Bed#163758#727#5.0
CF31#2 Bed#123993#609#5.0
CF33#2 Bed#118158#587#5.0
CF36#2 Bed#137979#624#5.0
CF38#2 Bed#131992#570#5.0
CF39#2 Bed#87439#433#5.0
CF46#2 Bed#102391#473#5.0
CF61#2 Bed#150954#702#5.0
CF63#2 Bed#129277#592#5.0
CF72#2 Bed#147811#699#5.0
CF81#2 Bed#81417#399#5.0
CF83#2 Bed#152800#672#5.0
CH2#2 Bed#152481#675#5.0
CH62#2 Bed#127515#586#5.0
CH66#2 Bed#143834#650#5.0
CM18#2 Bed#266242#1148#5.0
CR0#2 Bed#363046#1526#5.0
CT7#2 Bed#200625#875#5.0
CV10#2 Bed#165130#690#5.0
CV3#2 Bed#185996#867#5.0
CV6#2 Bed#141675#637#5.0
CW1#2 Bed#110130#502#5.0
CW8#2 Bed#124427#615#5.0
CW9#2 Bed#137106#581#5.0
DE1#2 Bed#131733#590#5.0
DE11#2 Bed#132244#569#5.0
DE23#2 Bed#123478#568#5.0
DE24#2 Bed#123188#547#5.0
DE74#2 Bed#165000#774#5.0
DG2#2 Bed#111424#477#5.0
DH2#2 Bed#83054#374#5.0
DH3#2 Bed#103751#459#5.0
DH8#2 Bed#93952#420#5.0
DL1#2 Bed#88487#435#5.0
DL2#2 Bed#133809#596#5.0
DN10#2 Bed#149334#645#5.0
DN11#2 Bed#117439#520#5.0
DN17#2 Bed#119513#519#5.0
DN21#2 Bed#89955#436#5.0
DN32#2 Bed#98452#441#5.0
DN36#2 Bed#130993#550#5.0
DN40#2 Bed#120000#563#5.0
DT5#2 Bed#166919#750#5.0
DY1#2 Bed#125681#610#5.0
DY11#2 Bed#157330#689#5.0
DY12#2 Bed#157173#693#5.0
DY2#2 Bed#120691#524#5.0
DY4#2 Bed#125047#584#5.0
DY5#2 Bed#134602#609#5.0
DY9#2 Bed#142353#655#5.0
EH12#2 Bed#234374#1008#5.0
EH22#2 Bed#149286#711#5.0
EH24#2 Bed#160000#776#5.0
EH38#2 Bed#150000#726#5.0
EN5#2 Bed#454084#1896#5.0
